Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/14/2026,08/15/2026,TRADER JOES #452,Groceries,Sale,-52.30,
08/15/2026,08/16/2026,UBER EATS,Food & Drink,Sale,-28.14,
08/16/2026,08/17/2026,UBER   TRIP 4RT2,Travel,Sale,-18.40,
08/17/2026,08/18/2026,PLANET FITNESS CLUB,Health,Sale,-45.00,
08/18/2026,08/19/2026,PAYMENT THANK YOU,Payment,Payment,510.00,
08/19/2026,08/20/2026,NETFLIX.COM,Entertainment,Sale,-15.99,
08/20/2026,08/21/2026,"TRAVELERS INSURANCE, PMT",Insurance,Sale,-90.00,
08/21/2026,08/22/2026,GYMBOREE PLAY AND MUSIC,Merchandise,Sale,-64.00,
08/22/2026,08/23/2026,SQ *A1B2C3XYZ,Groceries,Sale,-12.75,
08/23/2026,08/24/2026,WEIRD MERCHANT LLC,Merchandise,Sale,-31.00,
